BuyAndHold,Buy-Write,Put-Write
8.34439,10.453,18.9742
11.2884,10.453,21.9918
-1.59896,3.85404,2.1833
-9.53038,-4.07738,-13.8778
-14.2381,-8.78506,-23.4109
-9.15043,-3.69743,-13.1084
14.9231,10.453,25.7173
52.7104,10.453,64.4494
1.69618,7.14918,8.85596
22.7884,10.453,33.7793
32.2341,10.453,43.4611
-2.01932,3.43368,1.33207
29.6768,10.453,40.84
21.8955,10.453,32.8641
-10.1544,-4.70144,-15.1415
-2.49549,2.95751,0.367826
2.41447,7.86747,10.3105
15.0341,10.453,25.8311
-9.4886,-4.0356,-13.7932
24.1133,10.453,35.1373
-1.34705,4.10595,2.69343
6.28974,10.453,16.8682
11.3003,10.453,22.004
15.119,10.453,25.9181
1.38605,6.83905,8.22795
29.12,10.453,40.2692
-7.95894,-2.50594,-10.6956
0.191202,5.6442,5.80838
17.4254,10.453,28.2822
7.48626,10.453,18.0946
2.66277,8.11577,10.8133
-0.605168,4.84783,4.19573
1.22062,6.67362,7.89296
18.6558,10.453,29.5434
11.5979,10.453,22.3091
16.2522,10.453,27.0797
15.7735,10.453,26.589
16.0054,10.453,26.8267
12.6371,10.453,23.3742
-1.82536,3.62764,1.72485
-8.58294,-3.12994,-11.9593
44.7421,10.453,56.2818
7.11627,10.453,17.7154
2.17851,7.63151,9.83268
-5.46747,-0.0144732,-5.65043
38.7375,10.453,50.1271
36.113,10.453,47.437
-6.99528,-1.54228,-8.74425
-4.99392,0.459078,-4.69149
-27.5291,-22.0761,-50.3253
5.18795,10.453,15.7388
4.96584,10.4188,15.477
-4.69028,0.762719,-4.07662
-3.71818,1.73482,-2.10811
-12.0561,-6.60306,-18.9923
12.0206,10.453,22.7423
-4.96449,0.488508,-4.6319
22.0515,10.453,33.024
16.8093,10.453,27.6507
-6.28568,-0.832682,-7.30731
16.6062,10.453,27.4426
13.0181,10.453,23.7648
5.27186,10.453,15.8249
10.9264,10.453,21.6207
13.3382,10.453,24.0929
13.7164,10.453,24.4806
8.16337,10.453,18.7886
-5.70009,-0.247095,-6.12149
29.7838,10.453,40.9496
27.2342,10.453,38.3362
32.0616,10.453,43.2844
8.92035,10.453,19.5646
22.9785,10.453,33.9742
30.7247,10.453,41.914
5.60548,10.453,16.1668
5.91669,10.453,16.4858
16.4429,10.453,27.2752
-18.1905,-12.7375,-31.4146
36.7736,10.453,48.1142
47.5177,10.453,59.1269
11.1723,10.453,21.8728
-11.3198,-5.86683,-17.5015
25.9893,10.453,37.0603
4.98312,10.4361,15.512
12.8819,10.453,23.6252
15.7903,10.453,26.6062
6.12544,10.453,16.6998
-12.4813,-7.0283,-19.8534
27.7667,10.453,38.882
-10.3715,-4.91854,-15.5812
22.4258,10.453,33.4076
-4.10944,1.34356,-2.90041
0.574252,6.02725,6.58406
-6.63636,-1.18336,-8.01744
11.1656,10.453,21.8659
17.5217,10.453,28.3809
7.99407,10.453,18.6151
9.05646,10.453,19.7041
4.55098,10.004,14.6369
-9.07711,-3.62411,-12.9599
